name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,window
no signals (always on),2016,8.0,0.08254503702482441,0.17119118808977254,0.5352378385387756,0.35938616471530643,1.5475757447128375,0.6493383334970727,-0.28574363050554463,0.288877959864875,-0.9407270043565903,3.522251519467937,-0.0185542195861109,-0.027461252402160224,-0.03162766584172211,-0.042871653635405314,-0.0674511034416487,-0.12867167042845296,0.040379869800063285,0.5744047619047619,404,design
no signals (always on),2695,10.69,0.05371340163211902,0.16288631999032593,0.264399904027704,0.3231892694057364,0.8491816198555953,0.2369833118481843,-0.4039465833891305,0.1329715458451489,-6.494139052863134,125.72547626344985,-0.014608976752781739,-0.026534614211150716,-0.028479059824420637,-0.05411235316783434,-0.24190048204947842,-0.2791339450983513,0.047489562078691934,0.597773654916512,1516,oos
signal_lag = 0,4711,18.69,0.16519655674877276,0.11614041738551423,1.2519187715914286,0.23739437479456355,5.8217750722538275,1.4292896319271446,-0.20495618000835303,0.8060091515271223,-0.5831885523316336,3.256384403780599,-0.012197420015010339,-0.01856577130189878,-0.022943347924379808,-0.027832298651515448,-0.04201479136839866,-0.07096345638649593,0.030886241285223798,0.6444491615368287,638,full (not a headline)
signal_lag = 0,2016,8.0,0.13120555322152705,0.13292239774130335,0.9759439906654177,0.3588540624570934,2.846172068806824,1.1903370042811248,-0.18758927196209474,0.6994299399383517,-0.43385527421536957,1.8144994761449107,-0.01459503868657236,-0.02070789671355862,-0.025090209449292654,-0.02851459724111454,-0.037670609027547125,-0.07096345638649593,0.030207510276476786,0.6195436507936508,378,design
signal_lag = 0,2695,10.69,0.19128971762386415,0.10180066902205667,1.5434360493028867,0.3193132861584353,5.742390621451876,1.6826859848769646,-0.09854116772703136,1.941216265609469,-0.765335009398803,5.067899072543906,-0.010443343018081593,-0.016360144582625975,-0.020240514376354646,-0.02667713915890433,-0.04201479136839866,-0.06812321812892685,0.030886241285223798,0.6630797773654916,266,oos
signal_lag = 1,4711,18.69,0.04935680784169105,0.1366685651963664,0.316844514415557,0.23572553172168104,1.4107153435673236,0.3088728015487897,-0.26767483692461536,0.1843909140237612,-1.8622893409544568,15.689441427715657,-0.013871965560097621,-0.02367821365081466,-0.0279199917668032,-0.04159729336364632,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6346847803014222,1998,full (not a headline)
signal_lag = 1,2016,8.0,0.060671220732824604,0.1505149618995078,0.45084349420740566,0.3585296185911031,1.2923714590688675,0.4916436198297366,-0.24759714504281505,0.2450400658793267,-0.950747928832622,4.83506372797308,-0.01629963820744217,-0.02527607594253146,-0.03057310080395959,-0.03932394228376151,-0.0674511034416487,-0.08405653468743968,0.03742084148734857,0.6165674603174603,425,design
signal_lag = 1,2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,oos
signal_lag = 2,4711,18.69,0.023246012166106222,0.16602840790917323,0.14411076961504232,0.24371515381005138,0.6057882377884871,0.11693457561752282,-0.5690970721852427,0.040847182848516884,-11.299472519728289,376.72015065127,-0.013875025124071058,-0.026217356172162642,-0.02972736728666642,-0.05141270579432968,-0.3797305873791319,-0.41286776067109154,0.058576868313022,0.6363829335597537,3073,full (not a headline)
signal_lag = 2,2016,8.0,0.08015769021288177,0.1567594169032124,0.5552748499367676,0.3603804289392729,1.601208383298433,0.5869842217328062,-0.3041994982482372,0.2635036897643741,-1.0420750200155968,6.449115360597929,-0.016377943347030268,-0.026661784225459666,-0.03189826639940379,-0.04324064950188329,-0.07158635634434007,-0.1500327881584741,0.058576868313022,0.623015873015873,378,design
