symbol,leverage,window,start,end,horizon,blocks,n,slope,se,theoretical,t_vs_theory,intercept_annual,rsquared,fee_config
UVXY,2.0,full,2011-10-05,2018-02-27,63,overlapping,1547,-0.8122676819449606,0.10261077792644754,-1.0,1.8295574972602573,-0.0824013790836477,0.7291540775548591,0.0095
UVXY,2.0,ex_feb2018,2011-10-05,2018-01-31,21,non_overlapping,75,-0.9461597122907476,0.06440510404423858,-1.0,0.8359630577146588,-0.032061759200433304,0.6496030852866456,0.0095
UVXY,2.0,ex_feb2018,2011-10-05,2018-01-31,21,overlapping,1571,-0.915792835463357,0.030130665784695303,-1.0,2.794732952081515,-0.042109912747780594,0.5302321717788376,0.0095
UVXY,2.0,ex_feb2018,2011-10-05,2018-01-31,63,non_overlapping,25,-0.9018092392807817,0.08979490725277355,-1.0,1.093500330066719,-0.05195814632846546,0.815146626809777,0.0095
UVXY,2.0,ex_feb2018,2011-10-05,2018-01-31,63,overlapping,1529,-0.9862841544135256,0.03595556829402876,-1.0,0.38146652207836906,-0.01004394653248453,0.7847770855073595,0.0095
UVXY,1.5,full,2018-02-28,2026-09-18,21,non_overlapping,102,-0.38440219855795743,0.048605875285776895,-0.375,-0.19343749089338408,0.008109486105770372,0.6655638002911062,0.0095
UVXY,1.5,full,2018-02-28,2026-09-18,21,overlapping,2131,-0.3475252834530713,0.009537987368163832,-0.375,2.8805570280617667,-0.00755036132109531,0.6856600874455607,0.0095
UVXY,1.5,full,2018-02-28,2026-09-18,63,non_overlapping,34,-0.3745627311174058,0.03346711523047957,-0.375,0.013065628142218122,0.0030827428740379465,0.860856351256189,0.0095
UVXY,1.5,full,2018-02-28,2026-09-18,63,overlapping,2089,-0.3594236103463734,0.01059804470767172,-0.375,1.4697418328827365,-0.0007534412044664294,0.8795203196459316,0.0095
SVIX,-1.0,full,2022-03-31,2026-09-18,21,non_overlapping,53,-1.1708843579726977,0.07446898946707985,-1.0,-2.294704939540502,-0.011122753721651037,0.9701329160998904,0.0135
