name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,parameter,value,is_baseline
max_stress_loss = 1.0,2695,10.69,0.018787147697121753,0.16397357314219133,0.05564426891989127,0.30736851262313014,0.18943084445853253,0.048731466110447014,-0.4319842179357736,0.043490356631304024,-2.9334508316812924,24.253118675507544,-0.01621294521529887,-0.02975890480012556,-0.034512413790674226,-0.05864291329302269,-0.1274454654736029,-0.15228494356221067,0.047489562078691934,0.649721706864564,2184,15.93948639836008,0.23012213330952702,0.8305756547188151,0.7261595547309833,-0.0006433234818707945,max_stress_loss,1.0,False
rebalance = 1,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,rebalance,1,True
rebalance = 5,2695,10.69,0.007172257410228644,0.17900390859647114,0.013753784439884073,0.30778617571838096,0.04902756082218147,0.0097071298713296,-0.5071091786811033,0.014143418639911729,-15.020472285376693,487.228392579405,-0.012421136961827029,-0.025916537766115452,-0.028274520211459934,-0.05957114491519969,-0.3798007916418875,-0.4079220107171422,0.10054327654994331,0.6838589981447124,2184,8.061312291976565,0.17230428464266379,0.6114597031749016,0.7217068645640075,-0.317443931119882,rebalance,5,False
rebalance = 21,2695,10.69,0.0757162743344757,0.1428650351076751,0.4210521574256511,0.31674020225202654,1.574914667711831,0.3556270280410208,-0.2662362288002601,0.28439508280175024,-2.5333071114150387,31.36353815579254,-0.011830650362362279,-0.02410728094050495,-0.02799509662532466,-0.05062550622696164,-0.10699655985329937,-0.15009190699999153,0.07843215458553601,0.7001855287569573,1373,6.636817621395416,0.17193446821020897,0.590244418488757,0.7194805194805195,-0.000949281719414774,rebalance,21,False
evt_q = 0.9,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.9,False
evt_q = 0.925,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.925,False
evt_q = 0.95,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.95,False
evt_q = 0.96,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.96,False
evt_q = 0.97,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.97,False
evt_q = 0.975,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,evt_q,0.975,False
