fit,q,state,design,simple_threshold,log_threshold,p_daily,p_annual,return_period_years,sigma_daily,headline_threshold
pre2018,0.96,unconditional,-0.5x,1.6,0.9555114450274363,5.941508986577706e-06,0.0014961443710387323,667.8865549506932,0.039820015013189526,False
pre2018,0.96,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,1.3929168574540464e-06,0.00035095369387527775,2848.88071173687,0.02559112050638851,False
pre2018,0.96,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.1082439508783422e-07,2.7927359138146812e-05,35806.6828617374,0.02559112050638851,False
pre2018,0.96,on 2018-01-12,-1x,0.8,0.5877866649021191,1.0140143523858183e-06,0.0002554991008987262,3913.410060634036,0.024156033994939017,False
pre2018,0.96,on 2018-01-12,-0.5x,1.6,0.9555114450274363,7.972520663701628e-08,2.009055106100277e-05,49774.14466068646,0.024156033994939017,False
pre2018,0.96,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.0003214294760506053,0.07781852632856434,12.345644267015553,0.08009075519753688,False
pre2018,0.96,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,3.5561671184563596e-05,0.008921664135369656,111.58794949930488,0.08009075519753688,False
pre2018,0.97,unconditional,-1x,0.8,0.5877866649021191,5.8553786793297506e-05,0.014647650242929688,67.77109023302663,0.039820015013189526,False
pre2018,0.97,unconditional,-0.5x,1.6,0.9555114450274363,7.74177872637486e-06,0.0019490339526837541,512.5765161350885,0.039820015013189526,False
pre2018,0.97,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,2.47648141360305e-06,0.0006238793952515476,1602.3758330899518,0.02559112050638851,False
pre2018,0.97,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,2.612399628684234e-07,6.583031233575731e-05,15190.072470851737,0.02559112050638851,False
pre2018,0.97,on 2018-01-12,-1x,0.8,0.5877866649021191,1.8695888657293962e-06,0.0004710258670472811,2122.5276000484764,0.024156033994939017,False
pre2018,0.97,on 2018-01-12,-0.5x,1.6,0.9555114450274363,1.9579269803590467e-07,4.933854755373446e-05,20267.630039636442,0.024156033994939017,False
pre2018,0.97,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.00035376898424763816,0.0853058729450874,11.21707708970946,0.08009075519753688,False
pre2018,0.97,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,4.6207786812030005e-05,0.011577094995171344,85.87846858791448,0.08009075519753688,False
pre2018,0.975,unconditional,-1x,0.8,0.5877866649021191,5.8005000314750624e-05,0.014511364369074742,68.41227388537474,0.039820015013189526,False
pre2018,0.975,unconditional,-0.5x,1.6,0.9555114450274363,7.631802102980015e-06,0.0019213732633919234,519.9629019081183,0.039820015013189526,False
pre2018,0.975,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,2.425844728819568e-06,0.0006111267990540625,1635.8235632768412,0.02559112050638851,False
pre2018,0.975,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,2.549223272882369e-07,6.423837128199938e-05,15566.521812611267,0.02559112050638851,False
pre2018,0.975,on 2018-01-12,-1x,0.8,0.5877866649021191,1.8303593983057306e-06,0.00046114463060697997,2168.0190086860407,0.024156033994939017,False
pre2018,0.975,on 2018-01-12,-0.5x,1.6,0.9555114450274363,1.9096422717717798e-07,4.8121831959124783e-05,20780.09073695354,0.024156033994939017,False
pre2018,0.975,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.00035049103025034853,0.08454971644520792,11.3219843755189,0.08009075519753688,False
pre2018,0.975,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,4.553506804669154e-05,0.011409510583002325,87.14720628472392,0.08009075519753688,False
pre2018,0.98,unconditional,-1x,0.8,0.5877866649021191,4.9742468616219565e-05,0.012457172833834962,79.77597571343767,0.039820015013189526,False
pre2018,0.98,unconditional,-0.5x,1.6,0.9555114450274363,5.2898763637934885e-06,0.0013321642499010133,750.1600595837451,0.039820015013189526,False
pre2018,0.98,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,9.94344127668038e-07,0.0002505434535055029,3990.8255681666487,0.02559112050638851,False
pre2018,0.98,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,6.431579659563363e-08,1.6207449916594285e-05,61699.5229523966,0.02559112050638851,False
pre2018,0.98,on 2018-01-12,-1x,0.8,0.5877866649021191,7.049474445313718e-07,0.00017763104037560318,5629.148667801677,0.024156033994939017,False
pre2018,0.98,on 2018-01-12,-0.5x,1.6,0.9555114450274363,4.4847101930333734e-08,1.1301406076191789e-05,88484.06691737456,0.024156033994939017,False
pre2018,0.98,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.00031365155123213917,0.07600866865180633,12.651791303646357,0.08009075519753688,False
pre2018,0.98,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,3.145651733113265e-05,0.007895829919489672,126.15045481613346,0.08009075519753688,False
pre2018,0.99,unconditional,-1x,0.8,0.5877866649021191,7.481924168637816e-05,0.018678507830792723,53.03788008020457,0.039820015013189526,False
pre2018,0.99,unconditional,-0.5x,1.6,0.9555114450274363,1.4207930303292382e-05,0.0035740217971321764,279.2985243835558,0.039820015013189526,False
pre2018,0.99,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,8.192132661255649e-06,0.002062296425170862,484.39815763990987,0.02559112050638851,False
