period,model,n,first,last,rmse_ann_var,mae_ann_var,bias_ann_var,qlike,n_nonpositive_forecasts,oos_r2_vs_eval_mean,mz_alpha_ann_var,mz_beta,mz_beta_se,mz_t_beta_eq_1,mz_r2,hac_lags,oos_r2_vs_expanding_mean,dm_mse_t_vs_trailing,dm_mse_p,dm_qlike_t_vs_trailing,dm_qlike_p
2008-2012,random walk (today's RV),1243,2008-01-25,2012-12-31,0.15397229478959593,0.05544858844240917,0.0003876889100291047,0.955320470440762,0,-0.5678811230831369,0.04535054270765474,0.37536514591370446,0.052645570027557834,-11.864908172887565,0.3209875691571177,20,-0.407005944393372,1.9886397131300158,0.046960132687594136,5.70906248354845,1.4197363674543507e-08
2008-2012,expanding mean,1243,2008-01-25,2012-12-31,0.1298059549060602,0.06089505798830735,-0.02714965233382937,1.2572628246602024,0,-0.11433866312421714,0.21683109111650872,-3.1517950663012804,2.0464517116549312,-2.0287774408045003,0.08921169427985898,20,0.0,1.3804838392682908,0.167686112304736,1.8631582177812096,0.06267590464146967
2013-2019,HAR log (primary),1762,2013-01-02,2019-12-31,0.019507263733942307,0.011226993094570273,0.0011173512412929758,0.3034143618577058,0,0.005013643353732222,0.007926593814629772,0.5084264734550767,0.09304812207999544,-5.283003198305358,0.12697211208154546,20,0.5743686987111112,-1.716398721870703,0.08626495269872343,-3.0230000913331194,0.0025389462363016213
2013-2019,HAR level,1762,2013-01-02,2019-12-31,0.021866841739814197,0.014605083562267746,0.006613931384822592,0.3269896225547912,0,-0.2502490640240056,0.007788729712199778,0.3972402411165392,0.08805721394258675,-6.845092320050686,0.10432281441168767,20,0.4651734342876641,-1.009141957387173,0.31304519410547893,-1.5858830075358374,0.11294538818473616
2013-2019,"HAR log, smearing (not adopted)",1762,2013-01-02,2019-12-31,0.01989509391894196,0.011775407451518172,0.002176690737224904,0.3011425595961364,0,-0.03494292947714994,0.007950160592487314,0.47953431823689585,0.08814569459453436,-5.904606959616341,0.12671134132044415,20,0.5572762351055034,-1.5767358210205897,0.11503593544211711,-2.8077107012607483,0.005044503223992935
2013-2019,trailing 21-day RV,1762,2013-01-02,2019-12-31,0.023380918468899246,0.012486490841131305,0.00010909418067419477,0.4452824701977263,0,-0.42937950098847155,0.01232699660673211,0.28485850865263634,0.07016926967046008,-10.191662172143493,0.08096811943792381,20,0.3885457293182998,,,,
2013-2019,random walk (today's RV),1762,2013-01-02,2019-12-31,0.04708029147081256,0.01496551739115251,1.4506297428275747e-05,1.3118675760580167,0,-4.795657336832113,0.01563318022930433,0.09525344469062726,0.029705071330195863,-30.45764628040727,0.053752209112383764,20,-1.4792432153693706,1.3699568498492634,0.17087500828152793,6.9272115843916975,5.996594378325928e-12
2013-2019,expanding mean,1762,2013-01-02,2019-12-31,0.029900577484841862,0.027237707886358913,0.022059829921260245,0.6227025010346775,0,-1.337671956064482,0.035623102240681784,-0.46625073533574757,0.339816436192486,-4.3148317125696725,0.007340859940743738,20,0.0,2.341889097632106,0.019297340159677465,1.5684902839621775,0.11694641220852589
2020-2026,HAR log (primary),1666,2020-01-02,2026-08-19,0.08883184426588164,0.02591167764518822,-0.006965729325121417,0.4506719923003005,0,0.14754196360535954,0.009644995229511935,0.9242683770966477,0.24805114363739444,-0.30530648556113155,0.15381629142768072,20,0.15618922094009602,-1.2419972633896388,0.2144124860094953,-3.6595292112239286,0.00026055634995026354
2020-2026,HAR level,1666,2020-01-02,2026-08-19,0.0926957892751585,0.029666284645768946,7.865497355117106e-06,0.4046222553231519,0,0.07176986164558763,0.01831088759040256,0.5674645249707518,0.13133497406353759,-3.293376178838662,0.17128294465861194,20,0.08118574433953962,-1.336252175009544,0.18164944954149567,-2.410739116381802,0.01602797554388898
2020-2026,"HAR log, smearing (not adopted)",1666,2020-01-02,2026-08-19,0.08918092424185035,0.027695290679451107,-0.0033543904825166985,0.4359315415381836,0,0.1408290393975531,0.009731369727630041,0.836444804177719,0.22997307906872272,-0.7111927904109413,0.1476914535499111,20,0.14954439202920178,-1.2458779851552784,0.21298447235592105,-3.2432094672597453,0.0012053171106709793
2020-2026,trailing 21-day RV,1666,2020-01-02,2026-08-19,0.11367405655593373,0.035200831689540774,3.5762929410197567e-06,0.55449039459581,0,-0.3959130545379803,0.029553489384810526,0.3020390491436696,0.10426652986422244,-6.694007672119006,0.09122554833974084,20,-0.3817530385792358,,,,
2020-2026,random walk (today's RV),1666,2020-01-02,2026-08-19,0.1479560058766098,0.03887622968245281,2.88213047196651e-05,1.6151229392760493,0,-1.364835028541589,0.03171229316445865,0.2509114499727765,0.0478289561370546,-15.661821008192168,0.17247943928842058,20,-1.3408463555829928,0.8773664048824807,0.38041423040506217,4.762292052631918,2.08010708879383e-06
2020-2026,expanding mean,1666,2020-01-02,2026-08-19,0.09670437986719349,0.034339856026264305,-0.004070316481500903,0.6130420034720673,0,-0.010247863086521036,1.101009076393775,-27.660272504582238,20.4382493977251,-1.4022860738636596,0.11489989295976466,20,0.0,-0.9321809027893373,0.3513781917988942,0.4208545750909347,0.6739155919975734
