dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
capped at in-sample max sigma,721,2.861111111111111,0.94085,0.0016681018778839623,0.9921,0.0006260027955209153
capped at in-sample max sigma,722,2.865079365079365,0.9407,0.0016700824829929811,0.99205,0.000627964867647865
capped at in-sample max sigma,723,2.869047619047619,0.9407,0.0016700824829929811,0.99205,0.000627964867647865
capped at in-sample max sigma,724,2.873015873015873,0.9407,0.0016700824829929811,0.99205,0.000627964867647865
capped at in-sample max sigma,725,2.876984126984127,0.9406,0.0016714012085672309,0.99205,0.000627964867647865
capped at in-sample max sigma,726,2.880952380952381,0.94055,0.00167206006919608,0.99205,0.000627964867647865
capped at in-sample max sigma,727,2.884920634920635,0.94045,0.0016733767881143803,0.99205,0.000627964867647865
capped at in-sample max sigma,728,2.888888888888889,0.94045,0.0016733767881143803,0.99205,0.000627964867647865
capped at in-sample max sigma,729,2.892857142857143,0.9404,0.0016740346471922256,0.99205,0.000627964867647865
capped at in-sample max sigma,730,2.8968253968253967,0.9404,0.0016740346471922256,0.99205,0.000627964867647865
capped at in-sample max sigma,731,2.9007936507936507,0.94035,0.0016746921732067655,0.99205,0.000627964867647865
capped at in-sample max sigma,732,2.9047619047619047,0.94025,0.0016760062276137278,0.99205,0.000627964867647865
capped at in-sample max sigma,733,2.9087301587301586,0.9401,0.0016779748210268227,0.992,0.0006299206299209452
capped at in-sample max sigma,734,2.9126984126984126,0.93995,0.0016799404379322506,0.992,0.0006299206299209452
capped at in-sample max sigma,735,2.9166666666666665,0.93995,0.0016799404379322506,0.992,0.0006299206299209452
capped at in-sample max sigma,736,2.9206349206349205,0.93985,0.001681249200743305,0.99195,0.000631870140930872
capped at in-sample max sigma,737,2.9246031746031744,0.93985,0.001681249200743305,0.99195,0.000631870140930872
capped at in-sample max sigma,738,2.9285714285714284,0.93985,0.001681249200743305,0.99195,0.000631870140930872
capped at in-sample max sigma,739,2.9325396825396823,0.9398,0.0016819030887658187,0.99195,0.000631870140930872
capped at in-sample max sigma,740,2.9365079365079363,0.93975,0.0016825566483777005,0.9919,0.0006338134583613697
capped at in-sample max sigma,741,2.9404761904761907,0.9397,0.0016832098799614982,0.9919,0.0006338134583613697
capped at in-sample max sigma,742,2.9444444444444446,0.93955,0.0016851676103580913,0.9919,0.0006338134583613697
capped at in-sample max sigma,743,2.9484126984126986,0.93935,0.0016877733482313314,0.99185,0.0006357506390087229
capped at in-sample max sigma,744,2.9523809523809526,0.9393,0.0016884239692683822,0.99185,0.0006357506390087229
capped at in-sample max sigma,745,2.9563492063492065,0.9393,0.0016884239692683822,0.99185,0.0006357506390087229
capped at in-sample max sigma,746,2.9603174603174605,0.9392,0.0016897242378565796,0.99185,0.0006357506390087229
capped at in-sample max sigma,747,2.9642857142857144,0.9392,0.0016897242378565796,0.99185,0.0006357506390087229
capped at in-sample max sigma,748,2.9682539682539684,0.93905,0.0016916722126345866,0.9918,0.0006376817388007903
capped at in-sample max sigma,749,2.9722222222222223,0.93895,0.001692969248096374,0.9918,0.0006376817388007903
capped at in-sample max sigma,750,2.9761904761904763,0.9389,0.001693617282623203,0.9918,0.0006376817388007903
capped at in-sample max sigma,751,2.9801587301587302,0.9389,0.001693617282623203,0.9918,0.0006376817388007903
capped at in-sample max sigma,752,2.984126984126984,0.93885,0.0016942649955069018,0.9918,0.0006376817388007903
capped at in-sample max sigma,753,2.988095238095238,0.93885,0.0016942649955069018,0.9918,0.0006376817388007903
capped at in-sample max sigma,754,2.992063492063492,0.93875,0.0016955594578191592,0.9918,0.0006376817388007903
capped at in-sample max sigma,755,2.996031746031746,0.93875,0.0016955594578191592,0.9918,0.0006376817388007903
capped at in-sample max sigma,756,3.0,0.93865,0.0016968526379741997,0.9918,0.0006376817388007903
capped at in-sample max sigma,757,3.003968253968254,0.93865,0.0016968526379741997,0.9918,0.0006376817388007903
capped at in-sample max sigma,758,3.007936507936508,0.93865,0.0016968526379741997,0.9918,0.0006376817388007903
capped at in-sample max sigma,759,3.011904761904762,0.93855,0.0016981445389012092,0.9918,0.0006376817388007903
capped at in-sample max sigma,760,3.015873015873016,0.93845,0.001699435163517573,0.99175,0.0006396068128154976
capped at in-sample max sigma,761,3.0198412698412698,0.93845,0.001699435163517573,0.99175,0.0006396068128154976
capped at in-sample max sigma,762,3.0238095238095237,0.9384,0.0017000799981177356,0.99175,0.0006396068128154976
capped at in-sample max sigma,763,3.0277777777777777,0.93825,0.001702012595429305,0.99165,0.000643439099682323
capped at in-sample max sigma,764,3.0317460317460316,0.93815,0.0017032994085010417,0.99165,0.000643439099682323
capped at in-sample max sigma,765,3.0357142857142856,0.9381,0.0017039423405737642,0.99165,0.000643439099682323
capped at in-sample max sigma,766,3.0396825396825395,0.93805,0.0017045849568150006,0.9916,0.0006453464186001177
capped at in-sample max sigma,767,3.0436507936507935,0.9379,0.001706510914116872,0.9916,0.0006453464186001177
capped at in-sample max sigma,768,3.0476190476190474,0.93775,0.0017084340417470032,0.9916,0.0006453464186001177
capped at in-sample max sigma,769,3.0515873015873014,0.9377,0.0017090744571258449,0.9916,0.0006453464186001177
capped at in-sample max sigma,770,3.0555555555555554,0.93755,0.0017109938266983901,0.99155,0.0006472479239055139
capped at in-sample max sigma,771,3.0595238095238093,0.9374,0.0017129103887827872,0.9915,0.0006491436666871192
capped at in-sample max sigma,772,3.0634920634920637,0.9374,0.0017129103887827872,0.9915,0.0006491436666871192
capped at in-sample max sigma,773,3.0674603174603177,0.93735,0.0017135486205532655,0.9915,0.0006491436666871192
capped at in-sample max sigma,774,3.0714285714285716,0.9372,0.001715461453953425,0.9915,0.0006491436666871192
capped at in-sample max sigma,775,3.0753968253968256,0.9372,0.001715461453953425,0.9915,0.0006491436666871192
capped at in-sample max sigma,776,3.0793650793650795,0.93705,0.0017173715017432885,0.9914,0.0006529180653037581
capped at in-sample max sigma,777,3.0833333333333335,0.937,0.0017180075669216354,0.9914,0.0006529180653037581
capped at in-sample max sigma,778,3.0873015873015874,0.93695,0.0017186433239622474,0.9914,0.0006529180653037581
capped at in-sample max sigma,779,3.0912698412698414,0.9369,0.001719278773206952,0.9914,0.0006529180653037581
capped at in-sample max sigma,780,3.0952380952380953,0.93685,0.001719913914996911,0.9914,0.0006529180653037581
capped at in-sample max sigma,781,3.0992063492063493,0.9368,0.0017205487496726158,0.99135,0.0006547968196318628
capped at in-sample max sigma,782,3.1031746031746033,0.9368,0.0017205487496726158,0.99135,0.0006547968196318628
capped at in-sample max sigma,783,3.107142857142857,0.93675,0.0017211832775738908,0.99135,0.0006547968196318628
capped at in-sample max sigma,784,3.111111111111111,0.93665,0.0017224514144091266,0.99125,0.0006585376792560937
capped at in-sample max sigma,785,3.115079365079365,0.93655,0.0017237183282079473,0.99125,0.0006585376792560937
capped at in-sample max sigma,786,3.119047619047619,0.93655,0.0017237183282079473,0.99125,0.0006585376792560937
capped at in-sample max sigma,787,3.123015873015873,0.93635,0.0017262484974649506,0.99125,0.0006585376792560937
capped at in-sample max sigma,788,3.126984126984127,0.93635,0.0017262484974649506,0.99125,0.0006585376792560937
capped at in-sample max sigma,789,3.130952380952381,0.9363,0.0017268802795793342,0.99125,0.0006585376792560937
capped at in-sample max sigma,790,3.134920634920635,0.9362,0.0017281429339033269,0.99125,0.0006585376792560937
capped at in-sample max sigma,791,3.138888888888889,0.93615,0.0017287738067775086,0.99125,0.0006585376792560937
capped at in-sample max sigma,792,3.142857142857143,0.9361,0.0017294043772351213,0.99125,0.0006585376792560937
capped at in-sample max sigma,793,3.1468253968253967,0.93605,0.001730034645606844,0.99125,0.0006585376792560937
capped at in-sample max sigma,794,3.1507936507936507,0.936,0.0017306646122227142,0.99125,0.0006585376792560937
capped at in-sample max sigma,795,3.1547619047619047,0.936,0.0017306646122227142,0.9912,0.0006603998788612863
