name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,kind
OOS excluding 2022,2444,9.7,0.05448153069663486,0.12736949265861658,0.2968021262110382,0.33062905526562214,0.9683553128097997,0.2645480205859748,-0.24671915886330298,0.22082407765835832,-3.06842760185009,31.918005818688343,-0.01169888750238144,-0.02199074624476406,-0.024755109423254755,-0.04357619651222497,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.646481178396072,1258,,,,,,leave one year out
OOS excluding 2023,2445,9.7,0.030352047050872688,0.1275209323111796,0.14027828829380493,0.325475228305909,0.45971164877496107,0.12258423918156601,-0.2676748369246198,0.11339148423361199,-3.0802735432492443,31.760675373590175,-0.012098655985293194,-0.022409363120649794,-0.025874284300268554,-0.04387674453340872,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6548057259713701,1934,,,,,,leave one year out
OOS excluding 2024,2443,9.69,0.04126186416506994,0.1288314080857546,0.22156444959339786,0.32805597413963555,0.7205152514017187,0.19777986808598194,-0.2676748369246198,0.15414920819281097,-2.99658468876157,30.368594017966885,-0.012226683627531296,-0.022493254603600694,-0.025183950134378102,-0.04339533455142539,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6442898076135899,1905,,,,,,leave one year out
OOS excluding 2025,2444,9.7,0.037767529941903355,0.12811525142009556,0.1880895950132516,0.3270674134827904,0.6076755510724408,0.16616740278612932,-0.2676748369246198,0.14109480882037154,-3.071985549614655,31.15830858624721,-0.0121003414684636,-0.02250500277062404,-0.0254105232448376,-0.04383426855626362,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6493453355155483,1933,,,,,,leave one year out
OOS excluding 2026,2516,9.98,0.03845816162167459,0.1274437391017981,0.18673500138553184,0.32225272257458737,0.6129923900904763,0.1644254427045796,-0.2676748369246198,0.14367492314006652,-3.040201597306714,30.990771225003442,-0.01210559355045597,-0.022502426283692086,-0.025511479548104888,-0.04317246833143139,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6522257551669316,1998,,,,,,leave one year out
OOS excluding gfc_2008,2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,,,,,,leave one stress window out
OOS excluding euro_2011,2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,,,,,,leave one stress window out
OOS excluding aug_2015,2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,,,,,,leave one stress window out
OOS excluding volmageddon_2018,2672,10.6,0.05055064409286825,0.123845475025677,0.2732410432920061,0.3151357683673294,0.9419187908803113,0.24635575168490198,-0.20128359902987714,0.2511413962017087,-2.94247827511686,31.68408513989384,-0.012029989556834608,-0.02148976958162011,-0.02418674049361558,-0.04064116482525931,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6467065868263473,1000,,,,,,leave one stress window out
OOS excluding covid_2020,2644,10.49,0.046628243757989685,0.12600200664705297,0.23866370669990616,0.3158313635312034,0.8113623705337636,0.2143339544590999,-0.23110581785442252,0.20176144499902468,-2.982760324759079,30.851014121348328,-0.0121003414684636,-0.021960738217288334,-0.024755109423254755,-0.04216121497705095,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6437216338880484,1575,,,,,,leave one stress window out
