date,realised_vol,move_quantile,floor,w_vol_target,w_stress_budget,stress_move,weight,binding,stress_source
2008-05-05,0.39003024819834153,0.14048771925210524,0.0785166054345058,0.38458555635849223,1.4236119787886938,0.14048771925210524,0.38458555635849223,vol_target,model
2008-05-06,0.3954670208595839,0.14037850536399202,0.0785166054345058,0.37929837910114783,1.4247195429343935,0.14037850536399202,0.37929837910114783,vol_target,model
2008-05-07,0.44275084408588233,0.18401615785057432,0.0785166054345058,0.3387909972474357,1.08686107967978,0.18401615785057432,0.3387909972474357,vol_target,model
2008-05-08,0.42755380010464944,0.17160232931507882,0.0785166054345058,0.35083304127640896,1.1654853450898108,0.17160232931507882,0.35083304127640896,vol_target,model
2008-05-09,0.43112112777706385,0.16385379898809876,0.0785166054345058,0.347930060336932,1.2206003231852236,0.16385379898809876,0.347930060336932,vol_target,model
2008-05-12,0.4168692951444413,0.15793310436818833,0.0785166054345058,0.35982501409231016,1.2663589486200526,0.15793310436818833,0.35982501409231016,vol_target,model
2008-05-13,0.4167796761298871,0.14962941633651589,0.0785166054345058,0.35990238629883026,1.3366355687052933,0.14962941633651589,0.35990238629883026,vol_target,model
2008-05-14,0.41737824899205467,0.14415618758288026,0.0785166054345058,0.3593862410469201,1.3873840821783197,0.14415618758288026,0.3593862410469201,vol_target,model
2008-05-15,0.38310662804838963,0.1402494688894259,0.0785166054345058,0.3915359041531741,1.426030355649204,0.1402494688894259,0.3915359041531741,vol_target,model
2008-05-16,0.38652998803490357,0.13876823962834808,0.0785166054345058,0.3880682085304466,1.4412519790958225,0.13876823962834808,0.3880682085304466,vol_target,model
2008-05-19,0.37667597665519303,0.13496548568941089,0.0785166054345058,0.3982202457718962,1.4818603362066187,0.13496548568941089,0.3982202457718962,vol_target,model
2008-05-20,0.4325038072230993,0.19228673157670562,0.0785166054345058,0.3468177562715077,1.040113367989811,0.19228673157670562,0.3468177562715077,vol_target,model
2008-05-21,0.4923546715050969,0.2473704000207596,0.0785166054345058,0.30465842751417294,0.8085041701966597,0.2473704000207596,0.30465842751417294,vol_target,model
2008-05-22,0.494510711739289,0.22552559518145218,0.0785166054345058,0.3033301330772416,0.8868173026617447,0.22552559518145218,0.3033301330772416,vol_target,model
2008-05-23,0.49525199345431686,0.21734514798719595,0.0785166054345058,0.30287611555840477,0.9201953752001045,0.21734514798719595,0.30287611555840477,vol_target,model
2008-05-27,0.4986565711875329,0.20165121414133574,0.0785166054345058,0.30080822888341835,0.9918115338488446,0.20165121414133574,0.30080822888341835,vol_target,model
2008-05-28,0.49911567845144095,0.18636837743389342,0.0785166054345058,0.3005315330213445,1.0731434310573522,0.18636837743389342,0.3005315330213445,vol_target,model
2008-05-29,0.5361314371087866,0.1842161654252981,0.0785166054345058,0.27978213851608824,1.0856810505107515,0.1842161654252981,0.27978213851608824,vol_target,model
2008-05-30,0.5307261801664638,0.17304832672301154,0.0785166054345058,0.2826316198551804,1.155746511898543,0.17304832672301154,0.2826316198551804,vol_target,model
2008-06-02,0.539072518560899,0.22493787083949907,0.0785166054345058,0.27825569813953427,0.8891344052185277,0.22493787083949907,0.27825569813953427,vol_target,model
2008-06-03,0.5417036409524064,0.2136892124396384,0.0785166054345058,0.2769041753831942,0.9359386827095671,0.2136892124396384,0.2769041753831942,vol_target,model
2008-06-04,0.5407170231400104,0.1970516233408518,0.0785166054345058,0.2774094278166637,1.0149624581069714,0.1970516233408518,0.2774094278166637,vol_target,model
2008-06-05,0.5548254251362487,0.19013618770855276,0.0785166054345058,0.2703553103449872,1.0518776168299264,0.19013618770855276,0.2703553103449872,vol_target,model
2008-06-06,0.6575457105717604,0.3454725279844238,0.1104268580368008,0.2281210227492313,0.5789172330629351,0.3454725279844238,0.2281210227492313,vol_target,model
2008-06-09,0.6613565942951551,0.308937987626036,0.1104268580368008,0.22680653870226156,0.6473791117008779,0.308937987626036,0.22680653870226156,vol_target,model
2008-06-10,0.6607729948187954,0.27753608811939273,0.1104268580368008,0.22700685587360406,0.7206270051409039,0.27753608811939273,0.22700685587360406,vol_target,model
2008-06-11,0.6553183271450761,0.2657724451495835,0.1104268580368008,0.22889639093947178,0.7525234600126998,0.2657724451495835,0.22889639093947178,vol_target,model
2008-06-12,0.6575874101425733,0.24084055939450433,0.1104268580368008,0.22810655691762421,0.8304249105832452,0.24084055939450433,0.22810655691762421,vol_target,model
2008-06-13,0.6688692141528639,0.22308455818858433,0.1104268580368008,0.22425908806399164,0.8965210394837377,0.22308455818858433,0.22425908806399164,vol_target,model
2008-06-16,0.6638031312790195,0.20465378744028417,0.1104268580368008,0.22597061226719312,0.9772601939182675,0.20465378744028417,0.22597061226719312,vol_target,model
2008-06-17,0.6636330085843182,0.1887412912190613,0.1104268580368008,0.22602853996063954,1.0596515405199352,0.1887412912190613,0.22602853996063954,vol_target,model
2008-06-18,0.6644483242421962,0.19413433609435063,0.1104268580368008,0.22575119016377246,1.030214458831222,0.19413433609435063,0.22575119016377246,vol_target,model
2008-06-19,0.6449098294368532,0.18056060767020632,0.1104268580368008,0.23259065555099803,1.1076613142845626,0.18056060767020632,0.23259065555099803,vol_target,model
2008-06-20,0.611015549807074,0.18176721546749558,0.1104268580368008,0.24549293393165195,1.1003084328799926,0.18176721546749558,0.24549293393165195,vol_target,model
2008-06-23,0.6075162334843309,0.16967899606854817,0.1104268580368008,0.2469069824516365,1.1786962713947373,0.16967899606854817,0.2469069824516365,vol_target,model
2008-06-24,0.6024764074997794,0.16091011568509775,0.1104268580368008,0.2489724047825971,1.24292993730364,0.16091011568509775,0.0,signal_off,model
2008-06-25,0.6116533649519371,0.1577708786985036,0.1104268580368008,0.24523694071688265,1.2676610642588564,0.1577708786985036,0.24523694071688265,vol_target,model
2008-06-26,0.6774829943968373,0.26948021857495796,0.1104268580368008,0.22140777147261814,0.7421695034152145,0.26948021857495796,0.0,signal_off,model
2008-06-27,0.637604749569405,0.2437174934990719,0.1104268580368008,0.23525546210454018,0.8206222587003654,0.2437174934990719,0.0,signal_off,model
2008-06-30,0.6319175154433674,0.22207985167627045,0.1104268580368008,0.23737275250988518,0.9005769703572362,0.22207985167627045,0.0,signal_off,model
2008-07-01,0.6047100799732937,0.20345977824112293,0.1104268580368008,0.24805275282764355,0.982995271738561,0.20345977824112293,0.0,signal_off,model
2008-07-02,0.6250417746683185,0.23519327605346246,0.1104268580368008,0.23998395959949756,0.8503644464501503,0.23519327605346246,0.0,signal_off,model
2008-07-03,0.6269275306259714,0.21465649580237237,0.1104268580368008,0.23926210394721184,0.9317211633983528,0.21465649580237237,0.0,signal_off,model
2008-07-07,0.5909578656591491,0.19959934371323804,0.1104268580368008,0.2538252026355404,1.0020073026258924,0.19959934371323804,0.0,signal_off,model
2008-07-08,0.504866097430789,0.19394979200335657,0.1104268580368008,0.29710848235469633,1.0311947124776433,0.19394979200335657,0.0,signal_off,model
