date,symbol,assets_lower,assets_central,assets_upper,is_anchor
2015-05-12,SVXY,667153326.289832,797048129.03549,1026332136.9122956,False
2015-05-13,SVXY,678914424.5622754,812100513.1876771,1044425118.9101825,False
2015-05-14,SVXY,692746141.3977656,829667469.0730906,1065703489.1701059,False
2015-05-15,SVXY,698212604.7355362,837244243.295773,1074112960.842843,False
2015-05-18,SVXY,721817643.7162187,868743681.7828071,1110426367.5879922,False
2015-05-19,SVXY,731259659.3084917,881186228.8040557,1124951730.286052,False
2015-05-20,SVXY,729271883.1812404,879866585.1617912,1121893784.7733908,False
2015-05-21,SVXY,749563919.8229951,905454536.1951182,1153110550.8572145,False
2015-05-22,SVXY,748073071.9299906,904757037.298759,1150817067.4201348,False
2015-05-26,SVXY,719001569.6115377,873838617.3678218,1106094189.0022483,False
2015-05-27,SVXY,745836831.685616,907552965.1104319,1147376890.8696828,False
2015-05-28,SVXY,738713898.7735134,899975205.0948687,1136419147.4714503,False
2015-05-29,SVXY,732998971.3186195,894093882.3950663,1127627444.7609224,False
2015-06-01,SVXY,740453210.7836412,906462884.6924831,1139094861.9463208,False
2015-06-02,SVXY,729189040.7454447,893748841.0074209,1121766342.0240154,False
2015-06-03,SVXY,741281445.5708072,909663590.8987312,1140368997.8090684,False
2015-06-04,SVXY,715854252.1442013,879516493.6861141,1101252433.8396735,False
2015-06-05,SVXY,727366886.2995212,894734071.4119562,1118963184.7997696,False
2015-06-08,SVXY,712209943.2523543,879241044.6388572,1095646119.391182,False
2015-06-09,SVXY,720823724.0574611,890938188.569914,1108897346.226494,False
2015-06-10,SVXY,751800160.0673697,930333971.9626787,1156550727.4076662,False
2015-06-11,SVXY,767536873.7845793,950939880.5373855,1180759697.6412108,False
2015-06-12,SVXY,758260543.0638977,940565404.4683214,1166489220.4419017,False
2015-06-15,SVXY,724882118.7477593,902369574.002745,1115140680.0011919,False
2015-06-16,SVXY,738051285.6676751,919851838.7534751,1135399799.8971183,False
2015-06-17,SVXY,739873440.1135986,923214149.3116933,1138202957.1213639,False
2015-06-18,SVXY,761325018.0954384,951104385.2033372,1171203532.8551013,False
2015-06-19,SVXY,752794079.7261271,941557268.0475417,1158079748.7691646,False
2015-06-22,SVXY,785923976.7348783,986472204.8752853,1209045960.9617486,False
2015-06-23,SVXY,806713004.8011435,1013755977.3662945,1241027286.3314888,False
2015-06-24,SVXY,790562142.0952191,994626073.7570881,1216181199.561403,False
2015-06-25,SVXY,783522051.6189122,986924454.6974863,1205350898.912546,False
2015-06-26,SVXY,787911752.8621296,993615893.1069888,1212103906.4744098,False
2015-06-29,SVXY,657959774.8146825,832648162.4276195,1012189005.2520267,False
2015-06-30,SVXY,654812394.1570823,829631000.53705,1007347152.8791167,False
2015-07-01,SVXY,701856850.4371195,890270394.6321499,1079719178.0809994,False
2015-07-02,SVXY,658208238.9318058,835875166.3743157,1012571236.2898175,False
2015-07-06,SVXY,641560447.9916346,818518926.8344302,986960687.4441501,False
2015-07-07,SVXY,675104493.9891007,862311042.4017715,1038564016.1732755,False
2015-07-08,SVXY,607436631.3241259,776774843.5569013,934465453.8900678,False
2015-07-09,SVXY,601970231.1766192,770672453.5538764,926056079.4276658,False
2015-07-10,SVXY,646695604.7764859,828885994.3262612,994860485.3297213,False
2015-07-13,SVXY,709642396.4550605,912706646.5485116,1091696269.053564,False
2015-07-14,SVXY,714860332.4854438,920472114.9473139,1099723412.4781754,False
2015-07-15,SVXY,716185558.6971204,923234883.6018462,1101762107.6268396,False
2015-07-16,SVXY,765963246.646043,988533102.9138579,1178338868.665091,False
2015-07-17,SVXY,771264025.112222,996511770.5530915,1186493454.8390775,False
2015-07-20,SVXY,774080036.0266392,1003575503.2533715,1190825536.2144864,False
2015-07-21,SVXY,779960585.1628609,1012349931.1744087,1199872027.2134297,False
2015-07-22,SVXY,783439209.1831164,1018020584.9007906,1205223456.1631706,False
2015-07-23,SVXY,774494185.0153542,1007539575.2018676,1191462652.7510278,False
2015-07-24,SVXY,747244837.1428246,973193081.9510036,1149542931.557387,False
2015-07-27,SVXY,708482855.1149752,925845478.9287955,1089912459.4036503,False
2015-07-28,SVXY,760828089.8611915,995372459.7568917,1170439070.7795198,False
2015-07-29,SVXY,772092259.8993881,1011247929.6761327,1187767590.7018251,False
2015-07-30,SVXY,778055651.4714054,1020206115.0289774,1196941524.4501438,False
2015-07-31,SVXY,778718201.3869799,1022223476.9117967,1197960774.8141408,False
2015-08-03,SVXY,791224755.2010574,1042142002.5050457,1217200547.1357353,False
2015-08-04,SVXY,786586589.8407166,1037193174.0549595,1210065308.5360806,False
2015-08-05,SVXY,793792301.9983512,1047865471.0889688,1221150397.4733531,False
2015-08-06,SVXY,764720862.870162,1010616951.1996127,1176427616.265802,False
2015-08-07,SVXY,772589188.1336349,1022154906.9198979,1188532052.7774067,False
2015-08-10,SVXY,801412226.3349644,1063834761.0982614,1232872700.1575022,False
2015-08-11,SVXY,764555177.9985706,1016036586.9502726,1176172730.7670515,False
2015-08-12,SVXY,765631940.0931238,1018596830.7007824,1177829194.877925,False
2015-08-13,SVXY,773914414.3453115,1030757359.7033138,1190570747.926071,False
2015-08-14,SVXY,775736568.7912351,1034328453.769735,1193373905.1503167,False
2015-08-17,SVXY,785095741.9477123,1050281558.5001647,1207771825.099001,False
2015-08-18,SVXY,775819348.036767,1039016163.4068921,1193501250.6893568,False
2015-08-19,SVXY,760662404.9896001,1019839202.9272989,1170184185.280769,False
2015-08-20,SVXY,696556071.9709405,934917651.7659234,1071564591.9070128,False
2015-08-21,SVXY,583003357.5562775,783367113.7703412,896877911.2821711,False
2015-08-24,SVXY,473260573.7147892,638002642.9869798,728052333.3942364,False
2015-08-25,SVXY,423731381.47812206,571857336.3094499,651857851.9989434,False
2015-08-26,SVXY,463984211.39897585,626865931.6548843,713781807.5897598,False
2015-08-27,SVXY,453879582.70086455,613883544.3264655,698237097.3173681,False
2015-08-28,SVXY,431682549.1773907,584498230.5467272,664089731.2599233,False
2015-08-31,SVXY,414620672.43876827,563231144.2956872,637842163.0880499,False
2015-09-01,SVXY,355152504.7804494,482971940.5672266,546357808.313948,False
2015-09-02,SVXY,396647686.8820522,539986300.0330775,610192967.6988858,False
2015-09-03,SVXY,396896150.9991756,540909974.9537653,610575198.7366766,False
2015-09-04,SVXY,367741869.4351906,501719477.7094541,565724974.7797501,False
2015-09-08,SVXY,399463729.3916013,547355245.6662673,614525097.6794622,False
