,cm30,cm60,cm90,cm120,cm150,cm180,n_contracts
2013-06-20,19.63285714285714,19.46142857142857,20.05,20.414285714285715,20.628571428571426,20.842857142857145,8
2013-06-21,19.045714285714286,19.388571428571428,19.912499999999998,20.28,20.580000000000002,20.85,8
2013-06-24,20.18,20.339285714285715,20.871428571428574,21.034285714285716,21.205357142857142,21.405714285714286,9
2013-06-25,19.564285714285713,20.014285714285712,20.603571428571428,20.91,21.160714285714285,21.38,9
2013-06-26,19.042857142857144,19.714285714285715,20.485714285714284,20.86857142857143,21.13214285714286,21.49285714285714,9
2013-06-27,18.442857142857143,19.201785714285716,20.025,20.502857142857142,20.835714285714285,21.161428571428573,9
2013-06-28,18.31714285714286,19.103571428571428,19.992857142857144,20.45,20.753571428571426,21.14,9
2013-07-01,17.97,18.755357142857143,19.635714285714286,20.14857142857143,20.457142857142856,20.842857142857145,9
2013-07-02,17.964285714285715,18.825,19.757142857142856,20.26,20.6125,21.085714285714285,9
2013-07-03,17.752857142857145,18.742857142857144,19.62857142857143,20.164285714285715,20.557142857142857,21.041428571428572,9
2013-07-05,16.72142857142857,18.053571428571427,19.125,19.692857142857143,20.142857142857142,20.72,9
2013-07-08,16.19,17.407142857142855,18.414285714285715,19.014285714285712,19.491071428571427,20.11285714285714,9
2013-07-09,16.074285714285715,17.348214285714285,18.308928571428574,18.85,19.335714285714285,19.987142857142857,9
2013-07-10,15.835714285714287,17.057142857142857,17.985714285714284,18.60857142857143,19.001785714285717,19.615714285714287,9
2013-07-11,15.562857142857144,16.830357142857142,17.724999999999998,18.294285714285714,18.757142857142856,19.414285714285715,9
2013-07-12,15.757142857142856,16.985714285714288,17.889285714285716,18.46142857142857,18.8875,19.54,9
2013-07-15,15.41,16.735714285714284,17.664285714285715,18.174285714285716,18.614285714285714,19.248571428571427,9
2013-07-16,15.865714285714285,17.271428571428572,18.28571428571429,18.79,19.26964285714286,19.85,9
2013-07-17,,16.805357142857144,17.817857142857143,18.347142857142856,18.835714285714285,19.494285714285713,8
2013-07-18,,16.79642857142857,17.85,18.32142857142857,18.757142857142856,19.41714285714286,8
2013-07-19,,16.442857142857143,17.57,18.17,18.714285714285715,19.35,8
2013-07-22,14.7,16.27857142857143,17.38,17.98,18.572857142857142,19.25857142857143,9
2013-07-23,14.70357142857143,16.2625,17.3,17.9,18.492857142857144,19.135714285714286,9
2013-07-24,14.9,16.349999999999998,17.37,17.96785714285714,18.514285714285712,19.157142857142855,9
2013-07-25,14.65,16.0875,17.09,17.692857142857143,18.335714285714285,18.978571428571428,9
2013-07-26,14.649999999999999,16.075,17.06,17.65357142857143,18.214285714285715,18.9,9
2013-07-29,14.975,16.255357142857143,17.12,17.717857142857145,18.31,18.914285714285715,9
2013-07-30,14.700000000000001,16.057142857142857,16.957142857142856,17.575,18.142857142857142,18.77857142857143,9
2013-07-31,14.382142857142858,15.773214285714287,16.61,17.22142857142857,17.849999999999998,18.448214285714286,9
